nom,liens,disponibiliter,prix_regulier,remis_aditionnelle,EAN / GTIN,Poids - g,Marque,Model,Taille de la batterie,Batterie chimique,Batterie,Tension_nominale,capaciter_ah,Version batterie,Courant de décharge - A,Protection des circuits,Hauteur - mm,Diamètre - mm,10,40,100,200,600,30,180,540,360,50,Inclus,400,300,20,2,90,60,165,495,35
Samsung INR18650-25S 2500mAh - 25A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/samsung-inr18650-25s-2500mah-25a.html,False,4.4,False,7417940524986,45.0,Samsung,INR18650-25S,18650.0,Li-ion,Rechargeable,3.6,2.5,Haut plat,25.0,Non protégé,"18,20",64.7,,,,,,,,,,,,,,,,,,,,
Nitecore 18650 NL1834 3400mAh (protégé) - 4A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/nitecore-18650-nl1834-3400mah-protected-4a.html,False,15.95,True,06952506491506,46.0,Nitecore,NL1834,18650.0,Li-ion,Rechargeable,3.6,3.4,Bouton haut,4.0,Protégé,"69,20",18.3,14.95,,,,,,,,,,,,,,,,13.95,,,
Nitecore IMR18650 3100mAh - 10A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/nitecore-18650-3100mah-10a.html,False,16.75,True,6952506492220,46.0,Nitecore,IMR18650,18650.0,Li-ion,Rechargeable,3.6,3.1,Bouton haut,10.0,Protégé,"69,20",18.3,15.45,,,,,,,,,14.95,,,,,,,,,,
Samsung INR18650-35E 3450mAh - 8A - remis à neuf,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/samsung-inr18650-35e-reclaimed.html,False,2.95,True,7417940526386,49.0,Samsung,INR18650-35E,18650.0,Li-ion,Rechargeable,3.6,3.45,"récupéré, Haut plat",8.0,Non protégé,"65,00",18.3,,,2.75,2.55,2.4,,,,,2.85,,2.45,,,,,,,,
Samsung INR18650-20R 2000mAh - 22A - remis à neuf,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/samsung-inr18650-20r-reclaimed.html,False,,True,7417940525808,43.0,Samsung,INR18650-20R,18650.0,Li-ion,Rechargeable,3.6,2.0,"récupéré, Haut plat",22.0,Non protégé,"64,90",18.2,,,1.75,,,,,,,,,,,,,,,,,
Samsung INR18650-32E 3100mAh - 6.4A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/samsung-inr18650-32e-3100mah-6-4a.html,False,3.85,True,7417940525839,48.0,Samsung,INR18650-32E,18650.0,Li-ion,Rechargeable,3.6,3.1,Haut plat,6.4,Non protégé,"65,20",18.5,,,3.1,3.05,2.9,3.3,,,,,,2.95,,,,,,,,
2x Keeppower 18650 3500mAh (protected) - 8A - USB,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/2x-keeppower-18650-3500mah-protected-8a-usb.html,False,24.95,True,6970906554003,96.0,Keeppower,P1835U,18650.0,Li-ion,Rechargeable,3.6,3.35,"Bouton haut, USB",8.0,Protégé,"70,20",18.5,22.95,,,,,,,,,,Câble USB,,,,,,,,,
2x Keeppower 18650 3200mAh (protected) - 8A - USB,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/2x-keeppower-18650-3200mah-protected-8a-usb.html,True,18.95,True,6970906554010,60.0,Keeppower,P1832U,18650.0,Li-ion,Rechargeable,3.6,3.2,"Bouton haut, USB",8.0,Protégé,"68,90",18.6,17.95,,,,,,,,,,Câble USB,,,,,,,,,
Samsung INR18650-15Q 1500mAh - 18A ,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/samsung-inr18650-15q-1500mah-18a.html,True,,False,7417940527109,43.0,Samsung,INR18650-15Q,18650.0,Li-ion,Rechargeable,3.6,1.5,Haut plat,18.0,Non protégé,"64,60",18.15,,,,,,,,,,,,,,,,,,,,
Samsung INR18650-13P 1300mAh - 15A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/samsung-inr18650-13p.html,True,,True,7417940526232,42.0,Samsung,,18650.0,Li-ion,Rechargeable,3.6,1.3,Haut plat,15.0,Non protégé,"65,00",18.4,,,0.91,0.9,0.88,,,,,0.95,,,,,,,,,,
Nitecore 18650 NL1826 2600mAh (protégé) - 4A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/nitecore-18650-nl1826-2600mah-4a.html,False,11.45,True,6952506491483,50.0,Nitecore,NL1826,18650.0,Li-ion,Rechargeable,3.6,2.6,Bouton haut,4.0,Protégé,"69,20",18.3,10.95,,9.45,,,,,,,,,,,,,,,,,
Nitecore 18650 NL1835R USB 3500mAh - 5A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/nitecore-18650-nl1835r-usb-3500mah-4a.html,False,21.95,True,06952506492381,50.0,Nitecore,NL1835R,18650.0,Li-ion,Rechargeable,3.6,3.5,"Bouton haut, USB",5.0,Protégé,"70,00",18.5,19.95,,,,,,,,,,,,,19.45,,,18.45,,,
Samsung INR18650-30Q 3000mAh - 15A - Remis à neuf,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/samsung-inr18650-30q-3000mah-15a-reclaimed.html,False,3.95,True,7417940529912,46.0,Samsung,INR18650-30Q,18650.0,Li-ion,Rechargeable,3.6,3.0,"récupéré, Haut plat",15.0,Non protégé,"64,90",18.3,3.75,,,,,,,,,,,,,3.55,,,,,,
LG INR18650-MJ1 3400mAh - 10A - remis à neuf,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/lg-inr18650-mj1-3500mah-10a-reclaimed.html,False,2.95,True,7417940529875,47.0,LG,INR18650-MJ1,18650.0,Li-ion,Rechargeable,3.6,3.4,"récupéré, Haut plat",10.0,Non protégé,"65,20",18.4,,,2.75,2.55,2.4,,,,,2.85,,2.45,,,,,,,,
Nitecore 18650 NL1835HP 3500mAh (protected) - 8A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/nitecore-18650-nl1835hp-3500mah-8a.html,False,22.95,True,06952506492343,50.0,Nitecore,NL1835HP,18650.0,Li-ion,Rechargeable,3.6,3.5,Bouton haut,8.0,Protégé,"69,30",18.6,21.95,,18.45,,,,,,,,,,,,,,,,,
Nitecore 18650 NL1823 2300mAh (protected) - 2A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/nitecore-18650-nl1823-2300mah-2a.html,False,7.75,True,06952506491476,48.0,Nitecore,NL1823,18650.0,Li-ion,Rechargeable,3.6,2.3,Bouton haut,2.0,Protégé,"69,00",18.6,7.45,,,6.25,,,,,,,,,,,,,,,,
Nitecore TM03 NL18650D 3100mAh - 10A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/nitecore-nl18650d-3100mah-30a.html,False,15.95,True,06952506491438,46.0,Nitecore,NL18650D,18650.0,Li-ion,Rechargeable,3.6,3.1,Bouton haut,10.0,Protégé,"69,00",18.6,14.95,,12.95,,,,,,,,,,,,,,,,,
Nitecore 18650 NL1826R USB 2600mAh (protected) - 5A ,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/nitecore-18650-nl1826r-usb-2600mah-30a.html,False,10.95,True,06952506492299,48.0,Nitecore,NL1826R,18650.0,Li-ion,Rechargeable,3.6,2.6,"Bouton haut, USB",5.0,Protégé,"68,00",18.3,10.45,,9.25,,,,,,,,,,,10.25,,,,,,
Sony / Murata US18650VTC6 3000mAh - 30A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/sony-murata-us18650-vtc6.html,False,5.85,True,7417940525358,48.0,Sony / Murata,US18650VTC6,18650.0,Li-ion,Rechargeable,3.6,3.0,Haut plat,30.0,Non protégé,"65,00",18.2,5.43,,5.03,4.83,4.63,,,,,5.23,,,,,,,,,,
Nitecore 18650 NL1832 3200mAh - 2A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/nitecore-18650-nl1832-3200mah-30a.html,False,14.95,True,6952506491490,48.0,Nitecore,NL1832,18650.0,Li-ion,Rechargeable,3.6,3.2,Bouton haut,2.0,Protégé,"69,00",18.6,13.95,,11.95,,,,,,,12.95,,,,,,,,,,
Nitecore 18650 NL1834R USB 3400mAh (protected) - 2A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/nitecore-18650-nl1834r-usb-3400mah-30.html,False,15.95,True,06952506492305,48.0,Nitecore,NL1834R,18650.0,Li-ion,Rechargeable,3.6,3.4,"Bouton haut, USB",2.0,Protégé,"68,00",18.3,15.55,,14.95,,,,,,,,,,,,,,,,,
Nitecore 18650 NL1835 3500mAh (protected) - 4A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/nitecore-18650-nl1835-3500mah-5a.html,False,18.95,True,06952506491469,46.0,Nitecore,NL1835,18650.0,Li-ion,Rechargeable,3.6,3.5,Bouton haut,4.0,Protégé,"69,20",18.5,17.95,,15.95,,,,,,,,,,,,,,,,,
Sony / Murata US18650VTC5A 2600mAh - 35A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/sony-us18650vtc5a-flat-top.html,False,4.25,True,8438493099706,48.0,Sony,US18650VTC5A,18650.0,Li-ion,Rechargeable,3.6,2.6,Haut plat,35.0,Non protégé,"65,00",18.4,3.95,,3.85,,3.65,,,,,,,,3.75,,,,,,,
Sony / Murata Konion US18650VTC5 2600mAh - 30A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/sony-us18650vtc5-flat-top.html,True,4.45,True,0730484107406,46.0,Sony,US18650VTC5,18650.0,Li-ion,Rechargeable,3.6,2.6,Haut plat,30.0,Non protégé,"65,00",18.4,4.15,,3.6,,3.25,,,,,3.85,,,3.35,,,,,,,
Sony / Murata US18650VTC4 2100mAh - 30A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/sony-us18650vtc4-flat-top.html,False,4.55,True,0730484104870,46.0,Sony,US18650VTC4,18650.0,Li-ion,Rechargeable,3.6,2.1,Haut plat,30.0,Non protégé,"65,00",18.1,,,,,2.9,,,,,3.4,,,3.2,,,,,,,
LG 18650HB4 1500mAh - 30A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/lg-18650hb4-1500mah-30a.html,True,,False,8438493108347,44.0,LG,LGDAHB41865,18650.0,Li-ion,Rechargeable,3.6,1.5,Haut plat,30.0,Non protégé,"64,90",18.2,,,,,,,,,,,,,,,,,,,,
LG ICR18650-HB6 1500mAh - 30A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/lg-icr18650-hb6.html,True,2.75,True,8438493099508,48.0,LG,LGDAHB61865,18650.0,Li-ion,Rechargeable,3.6,1.5,Haut plat,30.0,Non protégé,"65,20",18.4,2.45,,,,2.05,,,,,,,,,,,,,,,
LG INR18650-HB2 1500mah - 30A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/lg-hb2-1500mah-30a.html,True,2.45,True,8438493098549,44.0,LG,LGDAHB21865,18650.0,Li-ion,Rechargeable,3.6,1.5,Haut plat,30.0,Non protégé,"65,00",18.2,2.15,,2.0,1.9,,,,,,,,,,,,,,,,
Samsung INR18650-20R 2000mAh - 22A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/samsung-inr18650-20r.html,False,3.45,True,7417940526645,43.0,Samsung,INR18650-20R,18650.0,Li-ion,Rechargeable,3.6,1.9,,22.0,Non protégé,"64,90",18.2,3.19,,2.99,2.79,2.7,,,,,,,,,,,,,,,
LG ICR18650-HG2 3000mAh - 20A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/lg-18650-hg2-without-warning.html,True,5.45,True,9009316344137,45.0,LG,LGABHG21865,18650.0,Li-ion,Rechargeable,3.6,3.0,Haut plat,20.0,Non protégé,"65,00",18.3,4.99,,4.69,4.59,4.49,,,,,4.79,,,,,,,,,,
Samsung INR18650-25R 2500mAh - 20A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/samsung-18650-inr18650-25r.html,False,3.75,True,8438493100709,44.0,Samsung,INR18650-25R,18650.0,Li-ion,Rechargeable,3.6,2.5,Haut plat,20.0,Non protégé,"64,90",18.3,3.29,,2.99,2.89,2.69,,,,,3.09,,2.79,,,,,,,,
LG ICR18650-HE4 2500mAh - 20A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/icr18650he4-2500mah.html,False,3.95,True,8438493100440,46.0,LG,LGDBHE41865,18650.0,Li-ion,Rechargeable,3.6,2.5,Haut plat,20.0,Non protégé,"65,00",18.3,,,3.3,3.2,3.1,,,,,3.35,,,,,,,,,,
LG ICR18650-HE2 2500mAh - 20A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/lg-18650he2-imr-battery.html,True,3.85,True,8438493100488,45.0,LG,LGDBHE21865,18650.0,Li-ion,Rechargeable,3.6,2.5,Haut plat,20.0,Non protégé,"64,80",18.3,,,3.48,3.18,2.83,3.68,,,,,,,,,,,,,,
Samsung INR18650-15M 1500mAh - 20A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/samsung-inr18650-15m.html,False,3.45,True,8438493099645,42.0,Samsung,INR18650-15M,18650.0,Li-ion,Rechargeable,3.6,1.5,Haut plat,20.0,Non protégé,"64,80",18.0,,3.15,2.95,2.9,2.85,,,,,,,,,,,,,,,
Samsung INR18650-30Q 3000mAh - 15A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/samsung-inr-18650-30q-3000mah.html,False,4.75,True,8438493100389,46.0,Samsung,INR18650-30Q,18650.0,Li-ion,Rechargeable,3.6,3.0,Haut plat,15.0,Non protégé,"64,90",18.3,4.45,,4.05,3.8,3.7,,,,,4.15,,,,,,,,,,
LG INR18650-MJ1 3400mAh - 10A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/lg-inr18650-mj1.html,True,3.99,True,8438493099829,47.0,LG,INR18650-MJ1,18650.0,Li-ion,Rechargeable,3.6,3.4,Haut plat,10.0,Non protégé,"65,00",18.2,3.7,,3.5,3.35,3.25,,,,,3.65,,,,,,,,,,
Samsung INR18650-35E 3450mAh - 8A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/samsung-inr18650-35e.html,False,4.95,True,9009316342928,49.0,Samsung,INR18650-35E,18650.0,Li-ion,Rechargeable,3.6,3.45,Haut plat,8.0,Non protégé,"65,00",18.3,,,4.25,3.95,3.8,,,,,4.75,,,,,,,,,,
Sanyo NCR18650GA 3350mAh - 10A - CN,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/sanyo-18650ga.html,False,4.65,True,7417940529851,48.0,Sanyo,NCR18650GA,18650.0,Li-ion,Rechargeable,3.6,3.35,Haut plat,10.0,Non protégé,"65,10",18.3,,,,,,3.8,,,,,,,,,,,,3.7,3.55,
LG INR18650MH1 3100mAh - 6A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/lg-inr18650mh1-3200mah-3c-battery.html,False,3.25,True,8438493098525,48.0,LG,INR18650MH1,18650.0,Li-ion,Rechargeable,3.6,3.1,Haut plat,6.0,Non protégé,"65,15",18.41,3.15,,,2.65,2.55,,,,,,,,,,,,,,,2.85
Panasonic NCR18650PF 2750mAh - 10A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/panasonic-ncr18650pf-3-7v-2900mah.html,False,4.75,True,8438493099904,46.0,Panasonic,NCR18650PF,18650.0,Li-ion,Rechargeable,3.6,2.75,Haut plat,10.0,Non protégé,"64,95",18.1,,,,,,4.25,4.05,3.95,,,,,,,,,4.15,,,
Sony / Murata US18650NC1 2900mAh - 10A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/sony-us18650nc1.html,True,,True,8438493100860,46.0,Sony,,18650.0,Li-ion,Rechargeable,3.6,2.9,Haut plat,10.0,Non protégé,"65,00",18.2,,,,,2.15,,,,,2.4,,,2.28,,,,,,,
Samsung ICR18650-22P 2200mAh - 10A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/samsung-icr18650-22p.html,True,4.75,True,8438493107401,44.0,Samsung,ICR18650-22P,18650.0,Li-ion,Rechargeable,3.6,2.2,Haut plat,10.0,Non protégé,"64,80",18.3,,,,,,,,,,,,,,4.45,,,,,,
Samsung INR18650-29E 2900mAh E7 - 8.25A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/samsung-inr18650-29e.html,False,4.35,True,7417940526997,45.0,Samsung,INR18650-29E,18650.0,Li-ion,Rechargeable,3.6,2.75,Haut plat,8.25,Non protégé,"64,90",18.3,4.05,,3.92,3.85,3.75,,,,,,,,,,,,,,,
Sanyo NCR18650BL 3350mAh - 7A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/sony-ncr18650bl.html,True,2.85,True,7417940526119,50.0,Sanyo,,18650.0,Li-ion,Rechargeable,3.6,3.35,Haut plat,7.0,Non protégé,"18,00",65.0,,2.75,,,,,2.6,2.45,2.5,,,,,,,,,,,
Panasonic NCR18650B 3250mAh - 6.7A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/panasonic-ncr18650b-made-in-japan.html,False,7.25,True,4016139082509,46.0,Panasonic,NCR18650B,18650.0,Li-ion,Rechargeable,3.6,3.25,Haut plat,6.7,Non protégé,"65,00",18.3,,,,,,6.43,5.73,5.58,,,,,,,,,,,,
Panasonic NCR18650A 3100mAh - 6.2A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/panasonic-ncr18650a.html,False,5.2,True,8438493101140,55.0,Panasonic,NCR18650A,18650.0,Li-ion,Rechargeable,3.6,3.1,Haut plat,6.2,Non protégé,"18,00",65.0,5.09,,,,,4.89,4.79,4.69,,,,,,,,,,,,
Samsung ICR18650-30A 3000mAh - 6A (4.3V),https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/samsung-icr18650-30a.html,True,,False,8438493099645,48.0,Samsung,,18650.0,Li-ion,Rechargeable,4.3,3.0,Haut plat,6.0,Non protégé,"64,70",17.9,,,,,,,,,,,,,,,,,,,,
Sanyo UR18650AA 2250 mAh - 5A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/sanyo-ur18650aan.html,False,2.75,False,7417940523583,45.0,Samsung,UR18650AA,18650.0,Li-ion,Rechargeable,3.6,2.25,Haut plat,5.0,Non protégé,"64,50",17.9,,,,,,,,,,,,,,,,,,,,
Sanyo NCR18650BF 3350mAh - 4.9A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/sony-ncr18650bf.html,False,4.35,True,8438493109726,46.0,Sanyo,NCR18650BF,18650.0,Li-ion,Rechargeable,3.6,3.35,Haut plat,4.9,Non protégé,"65,10",18.3,,,,,,4.18,4.08,3.98,,,,,,,,,,,,
Samsung ICR18650-22F 2250mAh - 4.4A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/samsung-18650-icr18650-22f.html,True,2.85,True,8438493100402,45.0,Samsung,ICR18650-22F,18650.0,Li-ion,Rechargeable,3.6,2.25,Haut plat,4.4,Non protégé,"64,60",17.9,2.75,,,,,,,,,,,,,,,,,,,
LG ICR18650-S3 2200mAh - 4.3A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/lg-icr18650-s3.html,True,,False,8438493100600,50.0,LG,,18650.0,Li-ion,Rechargeable,3.6,2.2,Haut plat,4.3,Non protégé,"64,90",18.1,,,,,,,,,,,,,,,,,,,,
Sony / Murata US18650VTC5A 2600mAh - 35A avec button top,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/sony-konion-us18650vtc5a-2600mah-35a-met-button-top.html,False,8.95,False,8438493100921,49.0,Sony,US18650VTC5A,18650.0,Li-ion,Rechargeable,3.6,2.6,Bouton haut,35.0,Non protégé,"66,60",18.4,,,,,,,,,,,,,,,,,,,,
Sony / Murata US18650VTC6 3000mAh - 30A avec button top,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/sony-konion-us18650vtc6-3120mah-30a-met-button-top.html,False,7.95,False,8438493100969,48.0,Sony,US18650VTC6,18650.0,Li-ion,Rechargeable,3.6,3.0,Bouton haut,30.0,Non protégé,"66,60",18.4,,,,,,,,,,,,,,,,,,,,
Sony / Murata US18650VTC5 2600mAh - 30A avec button top,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/sony-konion-us18650vtc5-2600mah-30a-met-button-top.html,True,5.95,False,8438493100907,47.0,Sony,US18650VTC5,18650.0,Li-ion,Rechargeable,3.6,2.6,Bouton haut,30.0,Non protégé,"66,60",18.4,,,,,,,,,,,,,,,,,,,,
Sony / Murata Konion US18650VTC4 2100mAh - 30A Bouton haut,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/sony-us18650vtc4-button-top.html,False,4.75,True,7417940529806,47.0,Sony,US18650VTC4,18650.0,Li-ion,Rechargeable,3.6,2.1,Bouton haut,30.0,Non protégé,"66,60",18.1,4.45,,,,,,,,,4.25,,,,,,,,,,
Samsung INR18650-25R 2500mAh - 20A button top,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/samsung-18650-inr18650-25r-button-top.html,True,6.95,True,7417940529837,48.0,Samsung,INR18650-25R,18650.0,Li-ion,Rechargeable,3.6,2.5,Bouton haut,20.0,Non protégé,"66,60",18.2,6.45,,,,,,,,,,,,,,,,,,,
Samsung INR18650-30Q 3000mAh -  15A button top,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/samsung-inr-18650-30q-3000mah-button-top.html,False,6.95,True,8438493100747,47.0,Samsung,INR18650-30Q,18650.0,Li-ion,Rechargeable,3.6,3.0,Bouton haut,15.0,Non protégé,"66,60",18.3,6.75,,,,,,,,,,,,,,,,,,,
Samsung INR18650-15L 1500mAh - 18A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/samsung-inr18650-15l-1500mah-18a.html,True,,False,8438493103144,43.0,Samsung,,18650.0,Li-ion,Rechargeable,3.6,1.5,Haut plat,18.0,Non protégé,"65,00",18.25,,,,,,,,,,,,,,,,,,,,
Panasonic UR18650ZY 2600mAh - 1.25A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/panasonic-ur18650zy-2600mah-1-25a.html,True,,False,8438493103106,48.0,Panasonic,,18650.0,Li-ion,Rechargeable,3.6,2.5,Haut plat,1.25,Non protégé,"65,00",18.6,,,,,,,,,,,,,,,,,,,,
Samsung INR18650-13Q 1300mAh - 15A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/samsung-inr18650-13q.html,True,,False,714819378754,50.0,Samsung,,18650.0,Li-ion,Rechargeable,3.6,1.3,Haut plat,15.0,Non protégé,"65,00",18.0,,,,,,,,,,,,,,,,,,,,
 Sanyo NCR18650GA 3350mAh - 10A Button Top,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/sanyo-18650ga-button-top.html,True,5.95,False,8438493103564,50.0,Sanyo,NCR18650GA,18650.0,Li-ion,Rechargeable,3.6,3.35,Bouton haut,10.0,Non protégé,"67,00",18.2,,,,,,,,,,,,,,,,,,,,
Keeppower 18650 2600mAh (protégé) - 5.2A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/keeppower-18650-2600-li-ion.html,True,7.25,True,6970906550159,53.0,Keeppower,P1826K,18650.0,Li-ion,Rechargeable,3.6,2.6,Bouton haut,5.2,Protégé,"68,90",18.6,6.95,,,,,,,,,,,,,,,,,,,
Keeppower 18650 2900mAh (protégé) - 8A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/keeppower-18650-2900mah.html,False,9.45,True,8438493103601,55.0,Keeppower,P1829J,18650.0,Li-ion,Rechargeable,3.6,2.9,Bouton haut,8.0,Protégé,"69,00",18.6,9.25,,7.75,,,,,,,,,,,,,,,,,
Keeppower 18650 3000mAh (protégé) - 15A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/keeppower-18650-3000mah-protected.html,True,11.45,False,6970906553013,48.0,Keeppower,P1830R,18650.0,Li-ion,Rechargeable,3.6,3.0,Bouton haut,15.0,Protégé,"69,00",18.8,,,,,,,,,,,,,,,,,,,,
Keeppower 18650 3200mAh (protected) - 8A (Button top),https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/keeppower-18650-3200-li-ion.html,False,7.95,False,7417940530710,30.0,Keeppower,,18650.0,Li-ion,Rechargeable,3.6,3.2,Bouton haut,1.0,Protégé,"68,90",18.6,,,,,,,,,,,,,,,,,,,,
Keeppower 18650 3400mAh (protégé) - 8A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/keeppower-18650-3400-li-ion.html,False,9.95,True,6970906550227,48.0,Keeppower,P1834J,18650.0,Li-ion,Rechargeable,3.6,3.4,Bouton haut,8.0,Protégé,"69,00",18.6,9.45,,,,,,,,,,,,,,,,,,,
Keeppower 18650 3500mAh (protégé) - 10A (Button-top),https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/keeppower-18650-3500-li-ion.html,False,12.45,True,6970906550234,50.0,Keeppower,P1835J,18650.0,Li-ion,Rechargeable,3.6,3.5,Bouton haut,10.0,Protégé,"69,10",18.6,11.95,,10.25,,,,,,,,,,,,,,,,,
EagleTac 18650 3500mAh (protégé) - 10A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/eagletac-18650-3500.html,True,13.5,True,4250728805647,48.0,EagleTac,,18650.0,Li-ion,Rechargeable,3.6,3.5,Bouton haut,10.0,Protégé,"68,50",18.5,11.95,,,,,,,,,,,,,,,,,,,
Samsung ICR18650-26F 2600mAh - 5.2A Z-tags,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/samsung-icr18650-26f-with-z-tags.html,True,,False,0,55.0,Samsung,,18650.0,Li-ion,Rechargeable,3.6,2.4,Lèvre de soudure en Z,5.0,Non protégé,"65,00",18.0,,,,,,,,,,,,,,,,,,,,
